line_key,anomaly_type,severity,description,reconciliation_status
TXN-A-002268-L4355,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002269-L4357,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002271-L4361,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002272-L4363,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002272-L4363,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002273-L4365,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002273-L4365,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002275-L4369,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002275-L4369,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002276-L4371,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002277-L4373,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002279-L4377,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002281-L4381,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002281-L4381,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002282-L4383,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002283-L4385,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002284-L4387,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002285-L4389,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-B-001182-L2364,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001253-L2506,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001255-L2510,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001293-L2586,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001329-L2658,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001424-L2848,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001473-L2946,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001474-L2948,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001475-L2950,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001477-L2954,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001478-L2956,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001481-L2962,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001482-L2964,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001483-L2966,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001485-L2970,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001489-L2978,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001498-L2996,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001499-L2998,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001500-L3000,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001504-L3008,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001505-L3010,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001506-L3012,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001510-L3020,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001511-L3022,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001547-L3062,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001551-L3066,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001981-L4137,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001986-L4147,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001987-L4149,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001988-L4151,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001989-L4153,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001990-L4155,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001995-L4165,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-001997-L4169,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-002002-L4179,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-002004-L4183,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-002005-L4185,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-002007-L4189,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
TXN-B-002009-L4193,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_A,MISSING_IN_SOURCE_A
